,,"Louis Amundson
POWER FORWARD","$53,838"
,,"Elliot Williams
SHOOTING GUARD","$53,838"
,,"Elliot Williams
SHOOTING GUARD","$53,838"
,,"Elliot Williams
SHOOTING GUARD","$53,838"
,,"Elliot Williams
SHOOTING GUARD","$53,838"
,,"Elliot Williams
SHOOTING GUARD","$53,838"
,,"Christapher Johnson
SMALL FORWARD","$53,838"
,,"Christapher Johnson
SMALL FORWARD","$53,838"
,,"Christapher Johnson
SMALL FORWARD","$53,838"
,,"Dahntay Jones
SMALL FORWARD","$53,838"
,,"Dahntay Jones
SMALL FORWARD","$53,838"
,,"Earl Barron
POWER FORWARD","$53,838"
,,"Earl Barron
POWER FORWARD","$53,838"
,,"Michael Beasley
SMALL FORWARD","$53,838"
,,"Michael Beasley
SMALL FORWARD","$53,838"
,,"John Lucas III
POINT GUARD","$53,838"
,,"John Lucas III
POINT GUARD","$53,838"
,,"Kenyon Martin
POWER FORWARD","$53,838"
,,"Kenyon Martin
POWER FORWARD","$53,838"
,,"Will Bynum
POINT GUARD","$53,838"
,,"Jerel McNeal
POINT GUARD","$53,838"
487,,"Tim Frazier
POINT GUARD","$50,734"
488,,"Toure Murry
SMALL FORWARD","$48,028"
,,"Toure Murry
SMALL FORWARD","$48,028"
,,"Seth Curry
SHOOTING GUARD","$48,028"
,,"Miroslav Raduljica
CENTER","$48,028"
,,"Miroslav Raduljica
CENTER","$48,028"
,,"Jorge Gutierrez
POINT GUARD","$48,028"
,,"Jorge Gutierrez
POINT GUARD","$48,028"
,,"Nate Wolters
POINT GUARD","$48,028"
